,model_name,country_code,item_group_code,outlet_group_code,week_of_forecast,actual_check,absolute_actual_difference,percentage_actual_difference,absolute_forecast_difference,percentage_forecast_difference,cell,mape_diff,1-rmsse_diff,wide_mape_diff,abs_mape_diff,abs_wide_mape_diff,abs_1-rmsse_diff
17,exponential_smoothing,DE,PTV_FLAT,ALL,2706,0.0,21618.032882539344,1.0,22687.154350605837,1.0,DE-PTV_FLAT-ALL,-0.0027039247518367837,-0.0009962621928867044,-0.0020566238062816877,0.0027039247518367837,0.0020566238062816877,0.0009962621928867044
18,exponential_smoothing,DK,MEDIATABLETS,ALL,2701,0.0,26274.0,19.0,38519.70858528385,24.0,DK-MEDIATABLETS-ALL,0.030886100298593122,-0.24851483694606913,0.04571220011822019,0.030886100298593122,0.04571220011822019,0.24851483694606913
19,exponential_smoothing,DK,MEDIATABLETS,ALL,2702,0.0,27148.0,20.0,30985.458864661,19.0,DK-MEDIATABLETS-ALL,-0.005470260207085104,-0.0406452395229018,-0.008562185341873502,0.005470260207085104,0.008562185341873502,0.0406452395229018
20,exponential_smoothing,DK,MEDIATABLETS,ALL,2703,0.0,28093.0,20.0,-7.305838205892344e+46,-100.0,DK-MEDIATABLETS-ALL,-5.757273615818536e+41,4.292857153425815e+42,-5.30479134041696e+41,5.757273615818536e+41,5.30479134041696e+41,4.292857153425815e+42
21,exponential_smoothing,DK,MEDIATABLETS,ALL,2704,0.0,28371.0,21.0,-9.555487236654499e+37,-100.0,DK-MEDIATABLETS-ALL,-7.694444189025999e+32,5.071344627943605e+33,-6.940838623128774e+32,7.694444189025999e+32,6.940838623128774e+32,5.071344627943605e+33
22,exponential_smoothing,DK,MEDIATABLETS,ALL,2705,0.0,29249.0,21.0,-8.59142361407334e+98,-100.0,DK-MEDIATABLETS-ALL,-6.449318104303621e+93,7.866468614666128e+94,-6.199590573041185e+93,6.449318104303621e+93,6.199590573041185e+93,7.866468614666128e+94
23,exponential_smoothing,DK,MEDIATABLETS,ALL,2706,0.0,29069.0,21.0,16467.650760526987,11.0,DK-MEDIATABLETS-ALL,-0.008656501301025188,-0.027933408675823307,-0.0700103910517797,0.008656501301025188,0.0700103910517797,0.027933408675823307
24,exponential_smoothing,DK,PTV_FLAT,ALL,2701,0.0,2394.0,1.0,-27928.561933625257,-16.0,DK-PTV_FLAT-ALL,0.11746410754955383,-0.25917848615279027,0.14537464000526049,0.11746410754955383,0.14537464000526049,0.25917848615279027
25,exponential_smoothing,DK,PTV_FLAT,ALL,2702,0.0,2375.0,1.0,-32186.230187987596,-17.0,DK-PTV_FLAT-ALL,0.0870574185851977,-0.19919366926845844,0.1674811587111278,0.0870574185851977,0.1674811587111278,0.19919366926845844
26,exponential_smoothing,DK,PTV_FLAT,ALL,2703,0.0,2305.0,1.0,3518.3466562684216,2.0,DK-PTV_FLAT-ALL,-0.005884942333041321,0.009147736658781769,-0.0067537266019676995,0.005884942333041321,0.0067537266019676995,0.009147736658781769
27,exponential_smoothing,DK,PTV_FLAT,ALL,2704,0.0,2300.0,1.0,-287844.8256813378,-64.0,DK-PTV_FLAT-ALL,-1.1130119167592767,2.886185191531709,-1.0781937926271696,1.1130119167592767,1.0781937926271696,2.886185191531709
28,exponential_smoothing,DK,PTV_FLAT,ALL,2705,0.0,2306.0,1.0,-33166.13522216896,-15.0,DK-PTV_FLAT-ALL,-0.05079436420559999,0.07848834297605922,-0.02681284829281151,0.05079436420559999,0.02681284829281151,0.07848834297605922
29,exponential_smoothing,DK,PTV_FLAT,ALL,2706,0.0,2304.0,1.0,-252409.0610742594,-50.0,DK-PTV_FLAT-ALL,-1.5434620541508164,3.5573185232459252,-1.289592526852195,1.5434620541508164,1.289592526852195,3.5573185232459252
